PARAMETERS
Parameter,Name in code,Value,Units
Delta t,delta_t,0.01,tau_l units
Initial number of bacteria,Nb0,1000,-
Initial concentration of bacteria,B,1000000.0,cells/ml
Initial concentration of phage,P,100000000.0,cells/ml
Maximum number of timer molecules,N,60,-
Production rate of timer molecules,k,6.0,cells/min·ml
Number of dead timer molecules when superinfected,nd,30,-
Adsorption rate of phage to bacteria,nu,5e-10,cells/min·ml
Initial concentration of nutrients,n0,1000000.0,nutrient/ml


ADDITIONAL DATA FROM SIMULATION
Magnitude,Value,Unit
Duration,1.5628511905670166,s
Volume of the system,0.001,ml
Number of iterations,50000,-


DATA FROM SIMULATION
Time (hours),Number of phage,Number of healthy bacteria,Number of infected bacteria,Number of dead bacteria,Number of nutrients
6.876999999999303,534578.0,0.0,1.0,1993.0,1.407407407754643
6.877383333332635,534578.0,0.0,1.0,1993.0,1.407407407754643
6.877766666665969,534578.0,0.0,1.0,1993.0,1.407407407754643
6.8781499999993025,534578.0,0.0,1.0,1993.0,1.407407407754643
6.878533333332636,534578.0,0.0,1.0,1993.0,1.407407407754643
6.878916666665968,534578.0,0.0,1.0,1993.0,1.407407407754643
6.879299999999301,534578.0,0.0,1.0,1993.0,1.407407407754643
6.879683333332634,534578.0,0.0,1.0,1993.0,1.407407407754643
6.880066666665967,534578.0,0.0,1.0,1993.0,1.407407407754643
6.880449999999301,534578.0,0.0,1.0,1993.0,1.407407407754643
6.880833333332633,534578.0,0.0,1.0,1993.0,1.407407407754643
6.881216666665965,534578.0,0.0,1.0,1993.0,1.407407407754643
6.881599999999299,534578.0,0.0,1.0,1993.0,1.407407407754643
6.881983333332632,534578.0,0.0,1.0,1993.0,1.407407407754643
6.882366666665965,534578.0,0.0,1.0,1993.0,1.407407407754643
6.882749999999297,534578.0,0.0,1.0,1993.0,1.407407407754643
6.883133333332631,534578.0,0.0,1.0,1993.0,1.407407407754643
6.883516666665964,534578.0,0.0,1.0,1993.0,1.407407407754643
6.883899999999297,534578.0,0.0,1.0,1993.0,1.407407407754643
6.884283333332631,534578.0,0.0,1.0,1993.0,1.407407407754643
6.884666666665963,534578.0,0.0,1.0,1993.0,1.407407407754643
6.885049999999295,534578.0,0.0,1.0,1993.0,1.407407407754643
6.885433333332629,534578.0,0.0,1.0,1993.0,1.407407407754643
