PARAMETERS
Parameter,Name in code,Value,Units
Delta t,delta_t,0.01,tau_l units
Initial number of bacteria,Nb0,1000,-
Initial concentration of bacteria,B,100000000.0,cells/ml
Initial concentration of phage,P,1000000000.0,cells/ml
Maximum number of timer molecules,N,60,-
Production rate of timer molecules,k,6.0,cells/min·ml
Number of dead timer molecules when superinfected,nd,30,-
Adsorption rate of phage to bacteria,nu,5e-10,cells/min·ml
Initial concentration of nutrients,n0,100000000.0,nutrient/ml
Maximum infections one bacterium can handle,Nimax,90,-
Width of the maximum infection one bacterium can handle,Nimax_std,28.125,-
Time window to track maximum infections,time_window,0.8695652173913043,tau_l units


ADDITIONAL DATA FROM SIMULATION
Magnitude,Value,Unit
Duration,4.079815864562988,s
Volume of the system,1e-05,ml
Number of iterations,20000,-


DATA FROM SIMULATION
Time (hours),Number of phage,Number of healthy bacteria,Number of infected bacteria,Number of dead bacteria,Number of nutrients,Average MOSI,Burst events due to MD
0.018783333333333343,9754.0,832.0,214.0,0.0,970.3703703703924,1.1574074074074074,0
0.019166666666666676,9750.0,831.0,216.0,0.0,969.8518518518742,1.1545454545454545,0
0.01955000000000001,9746.0,827.0,220.0,0.0,969.4814814815041,1.1576576576576576,0
0.019933333333333345,9743.0,827.0,222.0,0.0,968.962962962986,1.1651785714285714,0
0.020316666666666674,9739.0,826.0,224.0,0.0,968.1481481481718,1.1710526315789473,0
0.02070000000000001,9733.0,822.0,228.0,0.0,967.7037037037277,1.1759656652360515,0
0.021083333333333343,9726.0,818.0,233.0,0.0,967.1111111111355,1.1829787234042553,0
0.02146666666666668,9722.0,818.0,235.0,0.0,966.8148148148395,1.1799163179916319,0
0.021850000000000012,9718.0,816.0,239.0,0.0,966.0000000000252,1.1810699588477367,0
0.022233333333333345,9713.0,812.0,243.0,0.0,965.5555555555811,1.1902834008097165,0
0.022616666666666677,9706.0,808.0,247.0,0.0,965.185185185211,1.1865079365079365,0
0.023000000000000013,9701.0,804.0,252.0,0.0,964.7407407407669,1.1828793774319066,0
0.023383333333333346,9696.0,800.0,257.0,0.0,964.2962962963228,1.1846153846153846,0
